Year,BE,BW,BY,BR,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH
1950⁠,,-33,18,,0,-17,-14,,41,-65,18,,,,53,
1951,,-16,7,,0,-19,-10,,13,-43,15,,,,52,
1952,,-23,8,,0,-21,0,,29,-69,17,,,,59,
1953,,-40,14,,0,-11,0,,31,-74,10,,,,71,
1954,,-41,20,,0,-17,0,,37,-77,9,,,,69,
1955,,-59,52,,-6,-67,-5,,65,-139,47,,,,113,
1956,,-72,56,,-18,-82,0,,92,-169,61,,,,131,
1957,,-89,71,,-8,-102,-24,,107,-182,89,,,,140,
1958,,-61,113,,-6,-136,-37,,136,-249,115,,,,124,
1959,,-76,119,,-1,-163,-29,,132,-256,143,,,,130,
1960,,-55,95,,0,-113,-35,,133,-265,131,,,,109,
1961,,-98,112,,0,-170,-79,,228,-385,170,65,,,156,
1962,,-141,117,,0,-193,-98,,251,-370,178,74,,,182,
1963,,-154,99,,0,-199,-117,,204,-269,182,83,,,172,
1964,,-183,119,,0,-184,-159,,220,-252,166,90,,,182,
1965,,-188,97,,6,-165,-185,,260,-276,165,107,,,179,
1966,,-222,72,,5,-181,-210,,256,-208,180,113,,,195,
1967,,-239,62,,-2,-216,-215,,347,-216,172,119,,,190,
1968,,-220,51,,-1,-246,-224,,313,-190,185,131,,,201,
1969,,-317,119,,-7,-353,-319,,454,-249,250,155,,,266,
1970,,-161,76,,46,-150,-148,,208,-162,117,73,,,102,
1971,,-194,102,,26,-176,-100,,230,-188,122,73,,,106,
1972,,-303,91,,37,-158,-158,,312,-176,149,80,,,126,
1973,,-302,85,,36,-169,-186,,347,-174,127,94,,,141,
1974,,-260,177,,28,-260,-164,,380,-293,153,100,,,139,
1975,,-338,188,,23,-278,-105,,367,-222,150,91,,,122,
1976,,-368,170,,26,-277,-98,,393,-258,174,100,,,138,
1977,,-541,204,,74,-316,-132,,475,-183,147,108,,,165,
1978,,-556,153,,79,-299,-241,,453,-62,182,110,,,181,
1979,,-581,168,,120,-426,-265,,512,0,149,117,,,205,
1980,,-769,206,,91,-160,-152,,385,-39,126,147,,,165,
1981,,-838,137,,82,-218,-183,,515,0,155,133,,,216,
1982,,-915,83,,122,-220,-143,,577,0,142,134,,,219,
1983,,-730,69,,134,-197,-170,,360,0,131,156,,,249,
1984,,-747,21,,159,-151,-294,,427,0,145,170,,,268,
1985,,-738,14,,170,-208,-370,,423,46,191,184,,,288,
1986,,-891,25,,228,-101,-400,,437,0,194,195,,,314,
1987,,-978,0,,258,-30,-628,,570,85,244,172,,,306,
1988,,-982,0,,262,0,-736,,807,15,159,170,,,305,
1989,,-722,-33,,322,-6,-985,,856,-51,155,168,,,296,
1990,,-1264,-18,,327,-4,-739,,985,-32,250,187,,,308,
1991,,-1282,-2,,301,-34,-682,,898,-4,301,195,,,308,
1992,,-770,28,,262,0,-942,,661,-2,338,219,,,206,
1993,,-518,-6,,325,58,-1094,,510,16,398,215,,,95,
1994,,-210,-342,,291,31,-935,,490,80,336,222,,,37,
1995,2159,-1433,-1295,442,287,-60,-1101,394,231,-1763,117,92,907,574,-72,521
1996,2217,-1289,-1463,529,325,-246,-1657,438,283,-1598,118,120,1005,635,8,576
1997,2266,-1232,-1586,504,179,-140,-1610,431,344,-1564,151,104,981,601,-3,574
1998,2501,-1778,-1486,534,466,-314,-1758,448,403,-1583,219,117,102,617,0,595
1999,2725,-1760,-1635,587,340,-345,-2433,464,532,-1318,195,153,1122,672,89,612
2000,2812,-1957,-1884,644,442,-556,-2734,500,568,-1141,392,167,1182,711,185,670
2001,2653,-2115,-2277,498,402,-268,-2629,434,952,-278,229,146,1031,591,60,573
2002,2677,-1663,-2047,541,407,-197,-1910,439,487,-1628,419,139,1047,607,112,571
2003,2639,-2169,-1859,502,346,-656,-1876,392,393,-50,259,107,936,520,16,500
2004,2703,-2170,-2315,534,331,-578,-1529,403,446,-213,190,116,930,532,102,517
2005,2456,-2235,-2234,588,366,-383,-1606,434,363,-490,294,113,102,587,146,581
2006,2709,-2057,-2093,611,417,-623,-2418,475,240,-132,346,115,1078,590,124,617
2007,29,-2316,-2311,675,471,-368,-2885,513,318,-38,343,125,1165,627,136,644
2008,3139,-2499,-2923,621,505,-371,-2470,538,317,54,374,116,1158,627,177,637
2009,2877,-1488,-3354,501,433,-45,-1902,450,110,-59,293,93,910,514,169,497
2010,29,-1709,-3511,401,445,-66,-1752,399,259,354,267,89,854,497,101,472
2011,3043,-1779,-3663,440,516,-62,-1804,429,204,224,234,120,918,540,115,527
2012,3224,-2765,-3797,543,521,-25,-1304,453,178,435,256,94,961,550,134,542
2013,3328,-2415,-4307,518,588,88,-1702,461,107,691,242,137,995,559,168,543
2014,3491,-2356,-4852,510,604,-55,-1755,463,276,897,288,144,1034,585,172,554
2015,3613,-2313,-5449,494,626,-111,-1720,472,418,1021,349,151,1022,596,247,580
2016,3919,-2538,-5821,543,694,64,-2261,493,681,1107,388,174,1089,645,226,598
2017,4232,-2773,-5905,607,692,-49,-2471,524,684,1232,389,200,118,549,244,644
2018,4404,-3079,-6672,550,740,-83,-1613,538,831,1015,418,194,118,676,235,667
2019,433,-2436,-6701,555,771,-120,-1905,517,776,1041,308,179,1176,652,230,626
2020,3454,-3674,-7771,1139,712,-172,-2531,1177,1471,-624,334,411,2708,1619,172,1576
2021,3602,-4015,-9044,137,832,-230,-3556,1325,1911,199,-286,514,3225,1978,316,1856
2022,3609,-4473,-9865,1452,888,-814,-3250,1447,1789,1241,-107,577,3304,1986,299,1919
